Longitude,Latitude,Height,VelocityN,VelocityE,VelocityD
116.3195051,40.0086039,33707.0,737.0,802.0,-4.0
116.3195072,40.0086051,33654.0,548.0,758.0,4.0
116.3195097,40.0086063,33634.0,686.0,804.0,46.0
116.3195126,40.0086073,33748.0,475.0,902.0,-19.0
116.3195148,40.0086092,33705.0,665.0,819.0,-1.0
116.3195173,40.0086106,33664.0,571.0,888.0,-17.0
116.3195195,40.0086119,33690.0,664.0,762.0,1.0
116.3195218,40.0086132,33753.0,483.0,810.0,-15.0
116.3195246,40.0086143,33823.0,428.0,916.0,0.0
116.3195268,40.0086148,33977.0,255.0,808.0,-20.0
116.3195298,40.0086158,34013.0,309.0,949.0,-15.0
116.319533,40.0086163,34128.0,222.0,1015.0,-36.0
116.3195352,40.0086157,34156.0,-53.0,888.0,-28.0
116.3195378,40.0086163,34131.0,193.0,935.0,7.0
116.3195406,40.0086159,34256.0,-52.0,921.0,-23.0
116.319543,40.0086167,34360.0,134.0,848.0,-48.0
116.3195466,40.008617,34405.0,-41.0,1021.0,-83.0
116.3195497,40.008618,34524.0,274.0,1082.0,-70.0
116.319553,40.008619,34764.0,305.0,1086.0,-118.0
116.3195545,40.0086203,34785.0,360.0,768.0,-111.0
116.3195576,40.0086209,34987.0,280.0,930.0,-145.0
116.3195609,40.0086202,34999.0,18.0,1061.0,-119.0
116.3195645,40.0086205,35010.0,87.0,1176.0,-98.0
116.3195668,40.008622,35169.0,346.0,919.0,-131.0
116.3195696,40.0086219,35337.0,343.0,889.0,-107.0
116.3195729,40.0086225,35369.0,152.0,1097.0,-117.0
116.3195759,40.0086238,35060.0,325.0,1177.0,-21.0
116.3195795,40.008625,35226.0,263.0,1169.0,-102.0
116.319583,40.0086257,34947.0,325.0,1313.0,16.0
116.3195867,40.0086267,35009.0,285.0,1291.0,-30.0
116.3195902,40.0086276,34960.0,433.0,1312.0,8.0
116.3195923,40.0086286,34702.0,243.0,941.0,38.0
116.3195955,40.0086292,34589.0,239.0,1108.0,76.0
116.3195993,40.0086293,34797.0,72.0,1199.0,15.0
116.3196027,40.0086296,34760.0,114.0,1207.0,43.0
116.3196064,40.00863,34887.0,199.0,1201.0,17.0
116.3196104,40.0086304,34814.0,134.0,1334.0,36.0
116.3196135,40.0086299,34818.0,-64.0,1174.0,56.0
116.3196174,40.0086304,34976.0,29.0,1238.0,0.0
116.3196213,40.0086311,34930.0,173.0,1343.0,29.0
116.3196245,40.0086311,34943.0,14.0,1159.0,26.0
116.3196282,40.0086305,35097.0,-26.0,1276.0,27.0
116.3196311,40.0086301,35185.0,-82.0,1116.0,16.0
116.3196346,40.0086301,35319.0,75.0,1250.0,32.0
116.3196372,40.0086304,35334.0,29.0,993.0,23.0
116.3196394,40.0086297,35434.0,-76.0,964.0,38.0
116.3196415,40.00863,35482.0,48.0,835.0,37.0
116.3196437,40.0086294,35626.0,-115.0,794.0,8.0
116.3196439,40.0086285,35857.0,-177.0,466.0,-15.0
116.3196486,40.0086297,36028.0,56.0,1054.0,-77.0
116.3196517,40.0086297,36255.0,25.0,1094.0,-112.0
116.319654,40.0086285,36326.0,-284.0,998.0,-107.0
116.3196564,40.0086275,36441.0,-333.0,949.0,-99.0
116.3196595,40.0086281,36845.0,-111.0,964.0,-198.0
116.3196618,40.0086286,36679.0,-6.0,882.0,-101.0
116.3196643,40.0086285,36391.0,-315.0,847.0,-30.0
116.3196679,40.0086288,36421.0,-17.0,1141.0,-9.0
116.3196717,40.0086288,36406.0,-246.0,1235.0,-17.0
116.3196759,40.0086284,36367.0,-189.0,1375.0,26.0
116.3196793,40.0086278,36555.0,-301.0,1217.0,-18.0
116.3196831,40.008628,36445.0,-56.0,1299.0,35.0
116.319687,40.0086278,36611.0,-97.0,1258.0,-17.0
116.3196912,40.008628,36496.0,-102.0,1407.0,16.0
116.3196952,40.008628,36556.0,-102.0,1322.0,3.0
116.3196992,40.0086277,36797.0,-37.0,1337.0,-41.0
116.3197027,40.0086276,36829.0,10.0,1227.0,-5.0
116.3197066,40.0086275,36714.0,-104.0,1292.0,41.0
116.3197103,40.0086269,36850.0,-88.0,1280.0,34.0
116.319714,40.0086269,36859.0,-157.0,1235.0,5.0
116.319718,40.0086269,36870.0,-34.0,1332.0,10.0
116.3197214,40.0086271,36892.0,-59.0,1180.0,-12.0
116.3197252,40.0086267,36946.0,-16.0,1293.0,17.0
116.3197288,40.0086263,37041.0,-74.0,1240.0,-22.0
116.3197326,40.0086262,37015.0,17.0,1267.0,-1.0
116.3197363,40.0086263,36970.0,-18.0,1243.0,-9.0
116.3197401,40.0086259,36967.0,5.0,1327.0,2.0
116.3197437,40.0086258,37036.0,-26.0,1283.0,-43.0
116.3197475,40.0086263,36984.0,132.0,1304.0,-32.0
116.3197507,40.008626,37100.0,21.0,1170.0,-67.0
116.3197544,40.0086265,37033.0,177.0,1243.0,-37.0
116.3197579,40.0086261,37133.0,14.0,1248.0,-65.0
116.3197614,40.008626,37292.0,74.0,1281.0,-106.0
116.3197647,40.008626,37368.0,134.0,1224.0,-105.0
116.3197676,40.0086259,37376.0,89.0,1114.0,-100.0
116.3197708,40.0086257,37455.0,125.0,1184.0,-84.0
116.3197733,40.008625,37483.0,-136.0,968.0,-115.0
116.3197766,40.008625,37581.0,64.0,1133.0,-122.0
116.3197802,40.0086249,37668.0,-65.0,1215.0,-171.0
116.319784,40.0086248,37673.0,28.0,1292.0,-143.0
116.319787,40.0086245,37740.0,-143.0,1063.0,-164.0
116.3197909,40.0086244,37871.0,35.0,1329.0,-168.0
116.3197946,40.0086252,37930.0,162.0,1232.0,-201.0
116.3197986,40.0086256,37672.0,94.0,1289.0,-106.0
116.319802,40.0086258,37813.0,80.0,1231.0,-136.0
116.3198047,40.0086253,38022.0,58.0,1093.0,-144.0
116.319808,40.0086254,38054.0,103.0,1165.0,-120.0
116.319811,40.0086255,38150.0,84.0,1121.0,-141.0
116.319815,40.0086259,38020.0,24.0,1293.0,-91.0
116.3198184,40.0086257,38058.0,-151.0,1175.0,-106.0
116.3198221,40.0086263,38000.0,170.0,1273.0,-60.0
116.3198259,40.0086261,38134.0,-26.0,1327.0,-105.0
116.3198291,40.0086256,38414.0,56.0,1248.0,-137.0
116.3198322,40.0086252,38431.0,-99.0,1119.0,-133.0
116.3198357,40.0086251,38467.0,51.0,1231.0,-111.0
116.3198395,40.0086253,38473.0,6.0,1265.0,-125.0
116.3198429,40.0086245,38625.0,-121.0,1256.0,-140.0
116.3198461,40.0086241,38660.0,-146.0,1155.0,-138.0
116.3198481,40.0086227,38978.0,-166.0,996.0,-170.0
116.3198517,40.0086226,38990.0,-43.0,1162.0,-146.0
116.3198545,40.0086225,38895.0,-83.0,976.0,-119.0
116.3198582,40.0086212,39250.0,-309.0,1192.0,-212.0
116.3198615,40.0086201,39413.0,-347.0,1187.0,-224.0
116.3198647,40.0086201,39579.0,-110.0,1108.0,-244.0
116.3198674,40.0086189,39775.0,-293.0,977.0,-276.0
116.3198707,40.0086177,40051.0,-253.0,1067.0,-291.0
116.3198743,40.0086168,40289.0,-383.0,1169.0,-346.0
116.3198779,40.0086167,40354.0,-188.0,1206.0,-325.0
116.3198805,40.0086168,40714.0,-106.0,952.0,-407.0
116.319884,40.0086159,40676.0,-266.0,1151.0,-346.0
116.3198869,40.0086156,40615.0,-390.0,1022.0,-365.0
116.3198905,40.0086147,40545.0,-429.0,1138.0,-314.0
116.3198942,40.0086142,40725.0,-327.0,1173.0,-351.0
116.3198975,40.0086141,40482.0,-331.0,1062.0,-281.0
116.3199006,40.0086134,40433.0,-456.0,1003.0,-273.0
116.3199038,40.0086128,40442.0,-379.0,1053.0,-249.0
116.3199068,40.0086125,40475.0,-248.0,987.0,-232.0
116.3199097,40.0086113,40486.0,-503.0,964.0,-230.0
116.3199129,40.0086105,40559.0,-409.0,1039.0,-227.0
116.3199155,40.008609,40570.0,-661.0,902.0,-234.0
116.3199184,40.0086075,40574.0,-591.0,1033.0,-185.0
116.3199201,40.0086059,40572.0,-748.0,695.0,-176.0
116.3199225,40.0086042,40623.0,-742.0,823.0,-180.0
116.3199248,40.0086028,40742.0,-718.0,780.0,-224.0
116.3199271,40.0086017,40764.0,-598.0,760.0,-226.0
116.3199295,40.0086004,40709.0,-646.0,778.0,-213.0
116.3199317,40.0085992,40747.0,-650.0,706.0,-229.0
116.3199334,40.0085981,40662.0,-601.0,560.0,-198.0
116.3199353,40.0085972,40595.0,-633.0,473.0,-212.0
116.3199375,40.0085963,40526.0,-657.0,561.0,-217.0
116.319939,40.0085954,40483.0,-634.0,404.0,-232.0
116.3199406,40.0085949,40338.0,-539.0,344.0,-219.0
116.319942,40.0085945,40164.0,-364.0,345.0,-156.0
116.3199437,40.0085939,39812.0,-474.0,295.0,-24.0
