Acc_X,Acc_Y,Acc_Z
-0.187044,0.733829,10.326347
-0.238391,0.689587,10.470379
-0.232411,0.571567,10.525165
-0.189787,0.432683,10.54604
-0.1619,0.405622,10.571795
-0.15371,0.354487,10.5532
-0.152456,0.331721,10.543861
-0.180274,0.302623,10.502968
-0.209548,0.297042,10.437527
-0.216666,0.266224,10.374695
-0.236786,0.218776,10.326181
-0.268789,0.186443,10.257025
-0.289776,0.159732,10.174592
-0.289664,0.160404,10.138516
-0.292704,0.147377,10.071532
-0.266507,0.1425,10.000876
-0.203651,0.100246,9.933045
-0.156717,0.07187,9.844959
-0.087715,0.029624,9.772398
-0.038912,0.031478,9.769988
-0.054954,0.102912,9.816145
-0.063223,0.204507,9.895725
-0.096267,0.309626,9.973155
-0.143881,0.26711,9.982842
-0.137144,0.306813,10.140714
-0.191273,0.555466,10.284776
-0.112,0.444496,10.31599
-0.076139,0.553425,10.489128
-0.002384,0.477238,10.590448
0.030496,0.478696,10.726189
0.044393,0.432081,10.824234
0.020019,0.440416,10.932731
0.082831,0.428356,11.011425
0.15472,0.431036,11.076958
0.227896,0.450053,11.146208
0.180443,0.457712,11.192323
0.113982,0.439222,11.237577
0.057766,0.44108,11.23016
-0.049426,0.448461,11.181462
-0.186058,0.40331,11.13473
-0.295042,0.369451,11.115052
-0.32335,0.282353,11.076368
-0.361081,0.20246,11.0693
-0.376179,0.104076,11.081664
-0.418749,0.031082,11.073364
-0.419845,-0.029795,11.082473
-0.39736,-0.079239,11.025927
-0.413509,-0.093421,11.001788
-0.391804,-0.103385,10.990686
-0.372967,-0.118186,10.968183
-0.359225,-0.142395,10.989427
-0.313795,-0.178652,11.042611
-0.24684,-0.222383,11.109785
-0.16009,-0.297196,11.180001
-0.058807,-0.350277,11.23749
0.021618,-0.349321,11.287624
0.080421,-0.331084,11.309131
0.113352,-0.23478,11.341019
0.149413,-0.184093,11.369747
0.123366,-0.115361,11.441953
0.073922,-0.02252,11.478689
0.000942,0.052232,11.486083
-0.003736,0.081687,11.476076
-0.007263,0.088781,11.455719
0.022187,0.098243,11.437282
0.056541,0.085555,11.399643
0.023317,0.094272,11.370815
-0.011779,0.10732,11.321679
-0.038616,0.137543,11.295865
-0.098238,0.170503,11.283524
-0.123176,0.18081,11.272209
-0.115396,0.197579,11.262968
-0.111031,0.219333,11.239071
-0.082579,0.231704,11.229475
-0.093484,0.272597,11.156863
-0.125056,0.24185,11.090297
-0.092135,0.193662,10.955921
-0.066535,0.138927,10.745728
-0.039781,0.104808,10.596791
0.042894,0.046384,10.498482
0.026391,0.029874,10.435334
0.073911,0.044856,10.397721
0.145039,0.034899,10.36588
0.136265,0.104086,10.312882
0.185805,0.115727,10.286894
0.222731,0.1145,10.233717
0.335966,0.131145,10.169405
0.402366,0.131186,10.15179
0.469296,0.14278,10.121696
0.512659,0.148634,10.148861
0.509386,0.182302,10.205202
0.510918,0.203972,10.293198
0.519316,0.213516,10.414167
0.494496,0.238427,10.549579
0.440212,0.270483,10.70114
0.400439,0.288172,10.837055
0.420046,0.346236,10.94287
0.492845,0.419914,11.084955
0.512584,0.469119,11.226929
0.548159,0.465271,11.305126
0.597101,0.47352,11.390954
0.588198,0.451838,11.470709
0.672228,0.409053,11.5107
0.668597,0.366084,11.496374
0.576298,0.320541,11.484416
0.537427,0.30447,11.414776
0.392382,0.320076,11.324383
0.385052,0.278201,11.219828
0.315178,0.261289,11.103313
0.268925,0.20529,10.988713
0.277916,0.093371,10.88359
0.337699,-0.12995,10.765926
0.315293,-0.181354,10.683715
0.171277,-0.0566,10.659386
0.242877,-0.043164,10.638697
0.135183,0.106692,10.64824
0.238269,0.058,10.651006
0.223644,0.146105,10.65893
0.231406,0.134649,10.645836
0.224789,0.145003,10.662983
0.217405,0.103668,10.68438
0.383576,-0.165354,10.59578
0.37849,-0.144515,10.619055
