PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
03941,8617364,-0.132795,-0.080512,9.805703,0.011834,0.009385,0.000630
03942,8617389,-0.270616,0.029450,10.037731,0.002251,0.002804,0.002360
03943,8617414,-0.330251,0.200992,10.156777,-0.001544,-0.004244,0.001907
03944,8617439,-0.029929,-0.007968,9.704971,-0.018087,-0.005320,0.001379
03945,8617464,-0.060686,-0.495589,9.643287,-0.008924,-0.003566,0.005806
03946,8617489,-0.039057,-0.431834,9.782006,0.003047,-0.003603,0.001394
03947,8617514,-0.060028,-0.304291,9.968450,0.005912,0.003322,0.001367
03948,8617539,-0.262738,-0.001217,10.073640,0.001723,-0.005613,0.002574
03949,8617564,-0.216698,0.098218,9.728554,-0.014615,-0.005952,0.001419
03950,8617589,-0.268836,-0.086718,9.714319,-0.012381,-0.010279,0.007076
03951,8617614,-0.198176,-0.186938,9.766651,-0.007433,-0.011599,0.004349
03952,8617639,0.068840,-0.237601,9.698771,-0.003369,-0.006673,0.001725
03953,8617664,0.052757,-0.263498,9.851717,-0.001737,-0.001629,0.002673
03954,8617689,0.060972,-0.261364,9.922313,-0.000755,-0.004603,0.004389
03955,8617714,0.147979,-0.237333,9.744191,-0.000905,-0.001362,0.001519
03956,8617739,-0.147049,-0.123680,9.693956,0.000944,0.001354,-0.000229
03957,8617764,-0.417965,0.059790,9.749388,-0.000565,0.001397,0.002705
03958,8617789,-0.725518,0.204871,10.008129,-0.002460,-0.008596,0.005367
03959,8617814,-0.228925,-0.019636,9.902458,-0.008950,-0.015798,0.005689
03960,8617839,0.293139,-0.440076,9.749782,-0.015816,-0.010216,0.002865
03961,8617864,0.068310,-0.430266,9.825989,-0.007120,-0.000219,-0.000790
03962,8617889,-0.236628,-0.159822,9.795500,-0.002681,-0.004014,-0.002550
03963,8617914,-0.079949,0.052918,9.513474,0.001077,-0.001332,0.005736
03964,8617939,0.051122,-0.074879,9.559822,-0.003272,0.005486,0.005213
03965,8617964,-0.096312,-0.328967,10.024021,-0.003603,0.002936,0.004909
03966,8617989,-0.099669,-0.332139,10.099483,0.000141,-0.001219,0.004948
