Gyr_X,Gyr_Y,Gyr_Z
-0.142023,0.017365,0.328893
-0.151284,0.007508,0.330094
-0.146955,0.010059,0.336865
-0.142343,-0.002062,0.340409
-0.142929,0.022038,0.339887
-0.123706,0.026914,0.342587
-0.127259,-0.021338,0.34521
-0.123212,-0.029321,0.347661
-0.117672,-0.003523,0.34982
-0.111701,0.002924,0.354821
-0.103855,-0.01384,0.35499
-0.100313,-0.014442,0.354037
-0.089018,-0.018542,0.360591
-0.064895,-0.016224,0.36234
-0.056143,-0.028603,0.3632
-0.060177,-0.047745,0.366545
-0.047734,-0.048138,0.371986
-0.018904,-0.044179,0.377526
0.000507,-0.054921,0.378381
0.017219,-0.064552,0.380338
0.028574,-0.072199,0.382177
0.050323,-0.079177,0.384835
0.074162,-0.079736,0.390136
0.09067,-0.089248,0.389146
0.099517,-0.095938,0.390374
0.120551,-0.100359,0.394785
0.140522,-0.097646,0.397312
0.160617,-0.101264,0.396166
0.177156,-0.105402,0.397026
0.192731,-0.106776,0.398449
0.207063,-0.109696,0.40173
0.225145,-0.106859,0.402964
0.238716,-0.109573,0.409258
0.247969,-0.104468,0.40815
0.264146,-0.101422,0.414863
0.274063,-0.096072,0.4202
0.283625,-0.089648,0.42169
0.290982,-0.086904,0.4264
0.299373,-0.079292,0.432927
0.303911,-0.066957,0.435988
0.308632,-0.061274,0.444805
0.311583,-0.046857,0.447264
0.314788,-0.036837,0.459764
0.314022,-0.02106,0.469687
0.306308,-0.008202,0.474503
0.305108,0.00601,0.480885
0.304874,0.022451,0.494912
0.29776,0.043679,0.504095
0.290454,0.056653,0.513966
0.279997,0.075618,0.523946
0.270674,0.094373,0.534751
0.250589,0.114789,0.548216
0.23853,0.133634,0.555665
0.214658,0.158865,0.569176
0.199331,0.177083,0.579318
0.183662,0.203199,0.590272
0.157667,0.223766,0.599296
0.142013,0.249437,0.60446
0.118969,0.270557,0.617272
0.096511,0.294819,0.625042
0.078336,0.315932,0.635608
0.062609,0.339025,0.640845
0.045716,0.354619,0.651883
0.029209,0.36891,0.651128
0.010044,0.383053,0.658799
-0.008099,0.398537,0.66287
-0.022326,0.41171,0.6672
-0.039768,0.419194,0.66779
-0.048187,0.4248,0.670222
-0.067356,0.42975,0.673293
-0.087371,0.440034,0.674903
-0.099625,0.435964,0.672073
-0.115515,0.442187,0.670356
-0.131072,0.434888,0.665822
-0.147089,0.429576,0.661773
-0.161195,0.422197,0.659733
-0.174689,0.40698,0.651141
-0.186978,0.397464,0.645039
-0.200883,0.37999,0.640351
-0.220178,0.367119,0.629293
